# p ,r
7.717465128263142037e-04 9.480189603792077077e-03
7.749650598456634364e-04 9.500190003800076943e-03
7.781901318724956723e-04 9.520190403808076809e-03
7.814217278420786247e-04 9.540190803816076676e-03
7.846598466899239524e-04 9.560191203824076542e-03
7.879044873519102082e-04 9.580191603832076408e-03
7.911556487634269696e-04 9.600192003840078009e-03
7.944133298608415479e-04 9.620192403848077875e-03
7.976775295801547937e-04 9.640192803856077741e-03
8.009482468572450432e-04 9.660193203864077607e-03
8.042254806288463929e-04 9.680193603872077474e-03
8.075092298312039644e-04 9.700194003880077340e-03
8.107994934005627709e-04 9.720194403888078941e-03
8.140962702743901550e-04 9.740194803896078807e-03
8.173995593889312383e-04 9.760195203904078673e-03
8.207093596814088758e-04 9.780195603912078539e-03
8.240256700888015434e-04 9.800196003920078405e-03
8.273484895483319878e-04 9.820196403928078271e-03
8.306778169972230640e-04 9.840196803936079872e-03
8.340136513733086834e-04 9.860197203944079739e-03
8.373559916140561887e-04 9.880197603952079605e-03
8.407048366569329226e-04 9.900198003960079471e-03
8.440601854401392568e-04 9.920198403968079337e-03
8.474220369015091027e-04 9.940198803976079203e-03
8.507903899792432657e-04 9.960199203984080804e-03
8.541652436111754404e-04 9.980199603992080670e-03
8.575465967364839489e-04 1.000020000400008054e-02
8.609344482930028110e-04 1.002020040400808040e-02
8.643287972195434548e-04 1.004020080401608027e-02
8.677296424551621213e-04 1.006020120402408013e-02
8.711369829383037782e-04 1.008020160403208174e-02
8.745508176080244497e-04 1.010020200404008160e-02
8.779711454036246473e-04 1.012020240404808147e-02
8.813979652646492620e-04 1.014020280405608133e-02
8.848312761301543178e-04 1.016020320406408120e-02
8.882710769395626245e-04 1.018020360407208107e-02
8.917173666329079396e-04 1.020020400408008267e-02
8.951701441494906665e-04 1.022020440408808253e-02
8.986294084297112399e-04 1.024020480409608240e-02
9.020951584134813362e-04 1.026020520410408227e-02
9.055673930407125236e-04 1.028020560411208213e-02
9.090461112520493991e-04 1.030020600412008373e-02
9.125313119877705333e-04 1.032020640412808360e-02
9.160229941880315479e-04 1.034020680413608347e-02
9.195211567942109367e-04 1.036020720414408333e-02
9.230257987468311071e-04 1.038020760415208320e-02
9.265369189866591712e-04 1.040020800416008306e-02
9.300545164550731887e-04 1.042020840416808466e-02
9.335785900929626782e-04 1.044020880417608453e-02
9.371091388415832930e-04 1.046020920418408440e-02
9.406461616429244747e-04 1.048020960419208426e-02
9.441896574382419851e-04 1.050021000420008413e-02
9.477396251690361822e-04 1.052021040420808400e-02
9.512960637774184802e-04 1.054021080421608560e-02
9.548589722053783205e-04 1.056021120422408546e-02
9.584283493947824131e-04 1.058021160423208533e-02
9.620041942877422805e-04 1.060021200424008520e-02
9.655865058269803933e-04 1.062021240424808506e-02
9.691752829548526535e-04 1.064021280425608493e-02
9.727705246139593418e-04 1.066021320426408653e-02
9.763722297469007395e-04 1.068021360427208639e-02
9.799803972965215066e-04 1.070021400428008626e-02
9.835950262057887097e-04 1.072021440428808613e-02
9.872161154181580654e-04 1.074021480429608599e-02
9.908436638765962066e-04 1.076021520430408586e-02
9.944776705246816898e-04 1.078021560431208746e-02
9.981181343055030124e-04 1.080021600432008733e-02
1.001765054162883110e-03 1.082021640432808719e-02
1.005418429040644268e-03 1.084021680433608706e-02
1.009078257882608989e-03 1.086021720434408692e-02
1.012744539632843936e-03 1.088021760435208679e-02
1.016417273235538290e-03 1.090021800436008839e-02
1.020096457634758714e-03 1.092021840436808826e-02
1.023782091775061283e-03 1.094021880437608812e-02
1.027474174600512659e-03 1.096021920438408799e-02
1.031172705056523919e-03 1.098021960439208786e-02
1.034877682087406540e-03 1.100022000440008772e-02
1.038589104638082839e-03 1.102022040440808932e-02
1.042306971653719728e-03 1.104022080441608919e-02
1.046031282079239308e-03 1.106022120442408906e-02
1.049762034860052869e-03 1.108022160443208892e-02
1.053499228941571922e-03 1.110022200444008879e-02
1.057242863269451704e-03 1.112022240444808865e-02
1.060992936789225587e-03 1.114022280445609026e-02
1.064749448446671975e-03 1.116022320446409012e-02
1.068512397187690484e-03 1.118022360447208999e-02
1.072281781958547842e-03 1.120022400448008985e-02
1.076057601704899936e-03 1.122022440448808972e-02
1.079839855373624551e-03 1.124022480449608959e-02
1.083628541910988197e-03 1.126022520450409119e-02
1.087423660263379683e-03 1.128022560451209105e-02
1.091225209377554928e-03 1.130022600452009092e-02
1.095033188200514014e-03 1.132022640452809079e-02
1.098847595678767615e-03 1.134022680453609065e-02
1.102668430759805003e-03 1.136022720454409225e-02
1.106495692390625828e-03 1.138022760455209212e-02
1.110329379518597065e-03 1.140022800456009198e-02
1.114169491091329635e-03 1.142022840456809185e-02
1.118016026055945701e-03 1.144022880457609172e-02
1.121868983360423296e-03 1.146022920458409158e-02
1.125728361952617503e-03 1.148022960459209318e-02
1.129594160780750733e-03 1.150023000460009305e-02
1.133466378792311827e-03 1.152023040460809292e-02
1.137345014936011521e-03 1.154023080461609278e-02
1.141230068159950145e-03 1.156023120462409265e-02
1.145121537412471975e-03 1.158023160463209252e-02
1.149019421642409828e-03 1.160023200464009412e-02
